Location,Count,Min,Max,Average,Median,Std
North America,70,73.0,404.0,193.3,195.0,62.4
Asia,7,18.0,275.0,191.0,236.0,104.6
Europe,14,3.0,263.0,122.1,94.5,81.0
Global,2,104.0,115.0,109.5,109.5,7.8
