Location,Experience Level,Count,Average
Asia,Lead,1,263.0
Asia,Mid-level,1,18.0
Asia,Senior,5,211.2
Europe,Entry-level,2,81.5
Europe,Lead,1,80.0
Europe,Mid-level,1,3.0
Europe,Senior,10,146.4
Global,Mid-level,1,104.0
Global,Senior,1,115.0
North America,Entry-level,2,90.5
North America,Lead,21,209.2
North America,Mid-level,8,120.6
North America,Senior,39,204.9
