Job Role,Bachelor,Doctoral,Master,Not Mentioned
HPC Software Engineer,0.24,0.07,0.34,0.34
HPC Solutions Architect,0.74,0.11,0.0,0.14
HPC Systems Engineer,0.61,0.0,0.05,0.34
HPC Technical Leader,0.78,0.0,0.0,0.22
