source,target,weight,x1,y1,x2,y2
1,2,87,-0.0007072798231610681,0.016690032559090046,0.023555827725503374,0.16801222149260236
1,3,58,-0.0007072798231610681,0.016690032559090046,0.09537215394805258,-0.13789638453884967
1,4,52,-0.0007072798231610681,0.016690032559090046,0.10305344038523072,-0.30301387246313066
1,5,41,-0.0007072798231610681,0.016690032559090046,-0.16165261867912326,-0.11447661466626712
1,6,43,-0.0007072798231610681,0.016690032559090046,-0.029277788257468594,0.32482770094692437
1,7,48,-0.0007072798231610681,0.016690032559090046,0.18086727385098453,0.07936361159165517
1,8,38,-0.0007072798231610681,0.016690032559090046,-0.24477651657264093,0.03049054589406983
1,9,35,-0.0007072798231610681,0.016690032559090046,0.3063083890041166,-0.031268660360762965
1,10,34,-0.0007072798231610681,0.016690032559090046,0.2853825793808915,0.26778283456457364
1,11,39,-0.0007072798231610681,0.016690032559090046,-0.07760015160996597,-0.2727796423381356
1,12,32,-0.0007072798231610681,0.016690032559090046,-0.3612335446254146,-0.13072061658148207
1,13,42,-0.0007072798231610681,0.016690032559090046,-0.17414907463499993,0.16241378860332248
1,14,18,-0.0007072798231610681,0.016690032559090046,-0.29260368153837424,0.4639072928352319
1,15,20,-0.0007072798231610681,0.016690032559090046,0.3749746504723243,-0.22071078627259272
1,16,22,-0.0007072798231610681,0.016690032559090046,0.1847957138275213,0.43716077707436
1,17,19,-0.0007072798231610681,0.016690032559090046,-0.15992424504604488,0.5392952989975277
1,18,21,-0.0007072798231610681,0.016690032559090046,0.10439313771894815,0.6094115114583526
1,19,18,-0.0007072798231610681,0.016690032559090046,0.289120988054456,-0.47234333107571613
1,20,17,-0.0007072798231610681,0.016690032559090046,0.6053933558548424,0.036794751112321715
1,21,16,-0.0007072798231610681,0.016690032559090046,-0.216698008349638,-0.4073726414366538
1,22,15,-0.0007072798231610681,0.016690032559090046,-0.11262646564620453,0.7476247142983786
1,23,14,-0.0007072798231610681,0.016690032559090046,-0.6351225889171411,0.16808733520079266
1,24,15,-0.0007072798231610681,0.016690032559090046,0.3905643028184438,0.641155633920719
1,25,14,-0.0007072798231610681,0.016690032559090046,-0.46307079576100046,0.19523406388381692
1,26,13,-0.0007072798231610681,0.016690032559090046,0.6632800448163466,0.24634326516829094
1,27,12,-0.0007072798231610681,0.016690032559090046,0.6683260900944658,-0.28842106166680087
1,28,11,-0.0007072798231610681,0.016690032559090046,0.05784133859112831,0.8456759407621954
1,29,13,-0.0007072798231610681,0.016690032559090046,-0.42756997608733455,-0.4913646588743747
1,30,11,-0.0007072798231610681,0.016690032559090046,-0.7580974182370418,-0.052942710383485775
1,31,10,-0.0007072798231610681,0.016690032559090046,-0.16680067181873087,-0.5866061709913019
1,32,10,-0.0007072798231610681,0.016690032559090046,-0.6394319794110218,-0.5138284740843441
1,33,8,-0.0007072798231610681,0.016690032559090046,-0.9702254131446048,0.02280371601868053
1,34,9,-0.0007072798231610681,0.016690032559090046,-0.5620638850267037,0.5861677298486417
1,35,8,-0.0007072798231610681,0.016690032559090046,-0.40407665801114184,0.8659187432431569
1,36,7,-0.0007072798231610681,0.016690032559090046,0.42860435339319186,-0.7974205670198969
1,37,9,-0.0007072798231610681,0.016690032559090046,-0.7990385903535291,0.3907332379075222
1,38,10,-0.0007072798231610681,0.016690032559090046,0.5275946926997845,0.42421979203099397
1,39,8,-0.0007072798231610681,0.016690032559090046,0.04046110556779338,-0.719615202678075
1,40,6,-0.0007072798231610681,0.016690032559090046,0.23856797055765772,-0.9999999999999999
1,41,5,-0.0007072798231610681,0.016690032559090046,0.8630879815018315,-0.551770484022588
1,42,6,-0.0007072798231610681,0.016690032559090046,-0.17823431855398547,-0.958848521159596
1,43,9,-0.0007072798231610681,0.016690032559090046,-0.6456273330028174,-0.2530240159740244
1,44,5,-0.0007072798231610681,0.016690032559090046,0.3534272590187244,0.9621448749193757
1,45,7,-0.0007072798231610681,0.016690032559090046,0.5600945403313623,-0.6177891248615215
1,46,6,-0.0007072798231610681,0.016690032559090046,-0.8990526681948372,-0.41348307801494005
1,47,5,-0.0007072798231610681,0.016690032559090046,0.7112686777064772,0.7323111536757132
1,48,6,-0.0007072798231610681,0.016690032559090046,0.9237384090559083,0.01309021814380398
1,49,5,-0.0007072798231610681,0.016690032559090046,0.9142953786184649,0.266611123522485
1,50,4,-0.0007072798231610681,0.016690032559090046,-0.5147079836915214,-0.9085752902100498
2,3,42,0.023555827725503374,0.16801222149260236,0.09537215394805258,-0.13789638453884967
2,4,38,0.023555827725503374,0.16801222149260236,0.10305344038523072,-0.30301387246313066
2,5,35,0.023555827725503374,0.16801222149260236,-0.16165261867912326,-0.11447661466626712
2,6,48,0.023555827725503374,0.16801222149260236,-0.029277788257468594,0.32482770094692437
