Job Role,Asia,Central America,Europe,Global,North America,Oceania,Not mentioned
HPC Software Engineer,0.28,0.03,0.1,0.07,0.52,0.0,0.0
HPC Solutions Architect,0.23,0.0,0.26,0.06,0.46,0.0,0.0
HPC Systems Engineer,0.21,0.0,0.19,0.05,0.5,0.01,0.05
HPC Technical Leader,0.11,0.0,0.22,0.11,0.33,0.0,0.22
