Job Role,Entry-level,Mid-level,Senior,Lead
HPC Software Engineer,0.0,0.14,0.72,0.14
HPC Solutions Architect,0.0,0.03,0.69,0.29
HPC Systems Engineer,0.06,0.22,0.54,0.18
HPC Technical Leader,0.11,0.11,0.22,0.56
