Job Role,Hybrid,Onsite,Remote,Not mentioned
HPC Software Engineer,0.14,0.62,0.24,0.0
HPC Solutions Architect,0.14,0.43,0.31,0.11
HPC Systems Engineer,0.12,0.63,0.17,0.08
HPC Technical Leader,0.0,0.56,0.11,0.33
