,Communication,Teamwork,Problem-solving,Leadership,Adaptability,Mentorship,Self-motivation,Stakeholder Management,Customer Focus,Time Management,Total
HPC Systems Engineer,95,89,80,29,60,10,33,1,25,7,429
HPC Solutions Architect,27,28,17,13,20,4,7,6,10,1,133
HPC Software Engineer,16,16,14,7,13,3,0,0,0,1,70
HPC Technical Leader,8,8,7,6,4,3,2,4,4,1,47
