Job Role,Count,Min,Max,Average,Median,Std
HPC Software Engineer,15,88.0,404.0,220.8,240.0,83.8
HPC Solutions Architect,15,129.0,263.0,219.9,226.0,39.8
HPC Systems Engineer,63,3.0,298.0,161.7,153.0,69.5
